family,byte,bits,field,default,#,confidence,basis
CH32V407,USER,6,RAM_CODE_MOD,x,#,reference,CH32V407RM.PDF:zh(p.524)
CH32V407,USER,[5:3],Reserved,111b,#,reference,CH32V407RM.PDF:zh(p.524)
CH32V407,USER,2,STANDYRST,1,#,reference,CH32V407RM.PDF:zh(p.524)
CH32V407,USER,1,STOPRST,1,#,reference,CH32V407RM.PDF:zh(p.524)
CH32V407,USER,0,IWDGSW,1,#,reference,CH32V407RM.PDF:zh(p.524)
CH32V407,Data0-Data1,,,0xFFFF,#,reference,CH32V407RM.PDF:zh(p.524)
CH32V407,WRPR0-WRPR3,,,0xFFFFFFFF,#,reference,CH32V407RM.PDF:zh(p.524)
CH32X035,RDPR,,,0xA5,#,confirmed,CH32X035RM.PDF:zh(p.234)+CH32X035RM.PDF:en(p.248)
CH32X035,USER,[7:5],Reserved,xxb,#,conflict,CH32X035RM.PDF:en(p.248)+!CH32X035RM.PDF:zh(default=xxxb)
CH32X035,USER,[4:3],RST_MODE,11b,#,confirmed,CH32X035RM.PDF:zh(p.234)+CH32X035RM.PDF:en(p.248)
CH32X035,USER,2,STANDYRST,1,#,confirmed,CH32X035RM.PDF:zh(p.234)+CH32X035RM.PDF:en(p.248)
CH32X035,USER,1,STOPRST,1,#,confirmed,CH32X035RM.PDF:zh(p.234)+CH32X035RM.PDF:en(p.249)
CH32X035,USER,0,IWDGSW,1,#,confirmed,CH32X035RM.PDF:zh(p.234)+CH32X035RM.PDF:en(p.249)
CH32X035,Data0-Data1,,,X,#,confirmed,CH32X035RM.PDF:zh(p.234)+CH32X035RM.PDF:en(p.249)
CH32X035,WRPR0-WRPR3,,,0xFFFFFFFF,#,confirmed,CH32X035RM.PDF:zh(p.234)+CH32X035RM.PDF:en(p.249)
CH32X315,RDPR,,,0xA5,#,confirmed,CH32X315RM.PDF:zh(p.306)+CH32X315RM.PDF:en(p.361)
CH32X315,USER,7,USARTDLEN,1,#,confirmed,CH32X315RM.PDF:zh(p.306)+CH32X315RM.PDF:en(p.361)
CH32X315,USER,6,USBFSDLEN,1,#,conflict,CH32X315RM.PDF:en(p.361)+!CH32X315RM.PDF:zh(field=USBHSDLEN)
CH32X315,USER,5,Reserved,1,#,confirmed,CH32X315RM.PDF:zh(p.306)+CH32X315RM.PDF:en(p.361)
CH32X315,USER,4,START_MD,1,#,confirmed,CH32X315RM.PDF:zh(p.306)+CH32X315RM.PDF:en(p.361)
CH32X315,USER,3,CFGRSTEN,1,#,confirmed,CH32X315RM.PDF:zh(p.306)+CH32X315RM.PDF:en(p.361)
CH32X315,USER,[2:1],Reserved,11b,#,confirmed,CH32X315RM.PDF:zh(p.306)+CH32X315RM.PDF:en(p.361)
CH32X315,USER,0,IWDGSW,1,#,confirmed,CH32X315RM.PDF:zh(p.306)+CH32X315RM.PDF:en(p.361)
CH32X315,Data0-Data1,,,0xFFFF,#,confirmed,CH32X315RM.PDF:zh(p.306)+CH32X315RM.PDF:en(p.361)
CH32X315,WRPR0-WRPR3,,,0xFFFFFFFF,#,confirmed,CH32X315RM.PDF:zh(p.306)+CH32X315RM.PDF:en(p.361)
