family,symbol,role,register,address,value,#,confidence,basis
CH32L103,RCC_PLLSRC_HSE,value,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLSRC_HSI_Div2,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLXTPRE,mask,RCC->CFGR0,0x40021004,131072,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLXTPRE_HSE,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PPRE1,mask,RCC->CFGR0,0x40021004,1792,#,reference,evt(device-header)
CH32L103,RCC_PPRE1_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PPRE1_DIV2,value,RCC->CFGR0,0x40021004,1024,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PPRE2,mask,RCC->CFGR0,0x40021004,14336,#,reference,evt(device-header)
CH32L103,RCC_PPRE2_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_RTCSEL,mask,RCC->BDCTLR,0x40021020,768,#,reference,evt(device-header)
CH32L103,RCC_SW,mask,RCC->CFGR0,0x40021004,3,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_SWS,poll,RCC->CFGR0,0x40021004,12,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_SW_HSE,value,RCC->CFGR0,0x40021004,1,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_SW_PLL,value,RCC->CFGR0,0x40021004,2,#,reference,evt(device-header+system_ch32*.c)
CH32M030,EXTEN_ISINK1_ADJ,mask,EXTEN->CTLR2,,63,#,reference,evt(device-header)
CH32M030,EXTEN_ISINK1_DAT,mask,EXTEN->CTLR2,,65472,#,reference,evt(device-header)
CH32M030,EXTEN_ISINK2_ADJ,mask,EXTEN->CTLR2,,4128768,#,reference,evt(device-header)
CH32M030,EXTEN_ISINK2_DAT,mask,EXTEN->CTLR2,,4290772992,#,reference,evt(device-header)
CH32M030,EXTEN_UDM_DAC,mask,EXTEN->CTLR1,,132120576,#,reference,evt(device-header)
CH32M030,EXTEN_UDM_PCS,mask,EXTEN->CTLR1,,393216,#,reference,evt(device-header)
CH32M030,EXTEN_UDP_DAC,mask,EXTEN->CTLR1,,2016,#,reference,evt(device-header)
CH32M030,EXTEN_UDP_PCS,mask,EXTEN->CTLR1,,6,#,reference,evt(device-header)
CH32M030,EXTEN_USBPD0_LVE_T,mask,EXTEN->CTLR0,,3145728,#,reference,evt(device-header)
CH32M030,EXTEN_USBPD1_LVE_T,mask,EXTEN->CTLR0,,12582912,#,reference,evt(device-header)
CH32M030,FLASH_ACTLR_LATENCY,mask,FLASH->ACTLR,0x40022000,7,#,reference,evt(device-header)
CH32M030,FLASH_ACTLR_LATENCY_0,value,FLASH->ACTLR,0x40022000,0,#,reference,evt(device-header+system_ch32*.c)
CH32M030,FLASH_ACTLR_LATENCY_1,value,FLASH->ACTLR,0x40022000,1,#,reference,evt(device-header+system_ch32*.c)
CH32M030,FLASH_ACTLR_LATENCY_2,value,FLASH->ACTLR,0x40022000,2,#,reference,evt(device-header+system_ch32*.c)
CH32M030,FLASH_ACTLR_LATENCY_3,value,FLASH->ACTLR,0x40022000,3,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_ADCPRE,mask,RCC->CFGR0,0x40021004,63488,#,reference,evt(device-header)
CH32M030,RCC_AFIOEN,mask,RCC->PB2PCENR,0x40021018,1,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_AFIOEN,value,RCC->PB2PCENR,0x40021018,1,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_CFGR0_MCO,mask,RCC->CFGR0,0x40021004,117440512,#,reference,evt(device-header)
CH32M030,RCC_HPRE,mask,RCC->CFGR0,0x40021004,2032,#,reference,evt(device-header)
CH32M030,RCC_HPRE_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_HPRE_DIV2,value,RCC->CFGR0,0x40021004,16,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_HPRE_DIV3,value,RCC->CFGR0,0x40021004,32,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_HPRE_DIV6,value,RCC->CFGR0,0x40021004,80,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_HSEON,mask,RCC->CTLR,0x40021000,65536,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_HSEON,value,RCC->CTLR,0x40021000,65536,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_PLLON,value,RCC->CTLR,0x40021000,16777216,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_PLLRDY,poll,RCC->CTLR,0x40021000,33554432,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_PLLSRC,mask,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header)
CH32M030,RCC_PLLSRC_HSE,value,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_PLLSRC_HSI,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
