family,peripheral,bus,register,offset,address,bit,mask,macro,#,confidence,basis
CH32V307,SPI1,APB2,APB2PCENR,0x18,0x40021018,12,0x1000,RCC_APB2Periph_SPI1,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,TIM8,APB2,APB2PCENR,0x18,0x40021018,13,0x2000,RCC_APB2Periph_TIM8,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,USART1,APB2,APB2PCENR,0x18,0x40021018,14,0x4000,RCC_APB2Periph_USART1,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,TIM9,APB2,APB2PCENR,0x18,0x40021018,19,0x80000,RCC_APB2Periph_TIM9,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,TIM10,APB2,APB2PCENR,0x18,0x40021018,20,0x100000,RCC_APB2Periph_TIM10,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V407,DMA1,HB,HBPCENR,0x14,0x40021014,0,0x1,RCC_HBPeriph_DMA1,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,DMA2,HB,HBPCENR,0x14,0x40021014,1,0x2,RCC_HBPeriph_DMA2,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,SRAM,HB,HBPCENR,0x14,0x40021014,2,0x4,RCC_HBPeriph_SRAM,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,LTDC,HB,HBPCENR,0x14,0x40021014,3,0x8,RCC_HBPeriph_LTDC,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,PSRAM,HB,HBPCENR,0x14,0x40021014,4,0x10,RCC_HBPeriph_PSRAM,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
