family,register,type,member,field,define,kind,of_field,bits,mask,value,description,rm_access,rm_reset,#,confidence,basis
CH32L103,USART_CTLR3,USART,USART.CTLR3,CTSIE,USART_CTLR3_CTSIE,field,,10,0x400,,CTS Interrupt Enable,RW,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_DATAR,USART,USART.DATAR,DR,USART_DATAR_DR,field,,8:0,0x1ff,,Data value,RW,,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_GPR,USART,USART.GPR,PSC_0,USART_GPR_PSC_0,value,PSC,0,0x1,1,Bit 0,,,#,reference,evt(ch32l103.h)
CH32L103,USART_GPR,USART,USART.GPR,PSC_1,USART_GPR_PSC_1,value,PSC,1,0x2,2,Bit 1,,,#,reference,evt(ch32l103.h)
CH32L103,USART_GPR,USART,USART.GPR,PSC_2,USART_GPR_PSC_2,value,PSC,2,0x4,4,Bit 2,,,#,reference,evt(ch32l103.h)
CH32L103,USART_GPR,USART,USART.GPR,PSC_3,USART_GPR_PSC_3,value,PSC,3,0x8,8,Bit 3,,,#,reference,evt(ch32l103.h)
CH32L103,USART_GPR,USART,USART.GPR,PSC_4,USART_GPR_PSC_4,value,PSC,4,0x10,16,Bit 4,,,#,reference,evt(ch32l103.h)
CH32L103,USART_GPR,USART,USART.GPR,PSC_5,USART_GPR_PSC_5,value,PSC,5,0x20,32,Bit 5,,,#,reference,evt(ch32l103.h)
CH32L103,USART_GPR,USART,USART.GPR,PSC_6,USART_GPR_PSC_6,value,PSC,6,0x40,64,Bit 6,,,#,reference,evt(ch32l103.h)
CH32L103,USART_GPR,USART,USART.GPR,PSC_7,USART_GPR_PSC_7,value,PSC,7,0x80,128,Bit 7,,,#,reference,evt(ch32l103.h)
CH32L103,USART_GPR,USART,USART.GPR,PSC,USART_GPR_PSC,field,,7:0,0xff,,PSC[7:0] bits (Prescaler value),RW,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_GPR,USART,USART.GPR,GT,USART_GPR_GT,field,,15:8,0xff00,,Guard time value,RW,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_STATR,USART,USART.STATR,PE,USART_STATR_PE,field,,0,0x1,,Parity Error,RO,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_STATR,USART,USART.STATR,FE,USART_STATR_FE,field,,1,0x2,,Framing Error,RO,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_STATR,USART,USART.STATR,NE,USART_STATR_NE,field,,2,0x4,,Noise Error Flag,RO,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_STATR,USART,USART.STATR,ORE,USART_STATR_ORE,field,,3,0x8,,OverRun Error,RO,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_STATR,USART,USART.STATR,IDLE,USART_STATR_IDLE,field,,4,0x10,,IDLE line detected,RO,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_STATR,USART,USART.STATR,RXNE,USART_STATR_RXNE,field,,5,0x20,,Read Data Register Not Empty,RW0,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_STATR,USART,USART.STATR,TC,USART_STATR_TC,field,,6,0x40,,Transmission Complete,RW0,1,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_STATR,USART,USART.STATR,TXE,USART_STATR_TXE,field,,7,0x80,,Transmit Data Register Empty,RO,1,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_STATR,USART,USART.STATR,LBD,USART_STATR_LBD,field,,8,0x100,,LIN Break Detection Flag,RW0,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,USART_STATR,USART,USART.STATR,CTS,USART_STATR_CTS,field,,9,0x200,,CTS Flag,RW0,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,W0,WWDG_CFGR_W0,field,,0,0x1,,Bit 0,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,W1,WWDG_CFGR_W1,field,,1,0x2,,Bit 1,,,#,reference,evt(ch32l103.h)
