tag,parent,series,family,precision,features,features_zh,sections,#,confidence,basis
USBFS,USB,CH32V317,CH32V307,datasheet,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS/OTG_FS),通用串行总线USB2.0全速主机/设备控制器（USBFS/OTG_FS）,2.5.21,#,confirmed,features(CH32V20x_30xDS0.PDF)
USBFS,USB,CH32X033,CH32X035,datasheet,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS),通用串行总线USB2.0全速主机/设备控制器（USBFS）,1.4.17,#,confirmed,features(CH32X035DS0.PDF)
USBFS,USB,CH32X035,CH32X035,datasheet,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS),通用串行总线USB2.0全速主机/设备控制器（USBFS）,1.4.17,#,confirmed,features(CH32X035DS0.PDF)
USBHS,USB,CH32H415,CH32H417,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB 2.0高速主机/设备控制器（USBHS）,1.4.25,#,confirmed,features(CH32H417DS0.PDF)
USBHS,USB,CH32H416,CH32H417,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB 2.0高速主机/设备控制器（USBHS）,1.4.25,#,confirmed,features(CH32H417DS0.PDF)
USBHS,USB,CH32H417,CH32H417,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB 2.0高速主机/设备控制器（USBHS）,1.4.25,#,confirmed,features(CH32H417DS0.PDF)
USBHS,USB,CH32V205,CH32V205,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB 2.0高速主机/设备控制器（USBHS）,1.4.22,#,confirmed,features(CH32V205DS0.PDF)
USBHS,USB,CH32V305,CH32V307,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB2.0高速主机/设备控制器（USBHS）,2.5.22,#,confirmed,features(CH32V20x_30xDS0.PDF)
USBHS,USB,CH32V307,CH32V307,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB2.0高速主机/设备控制器（USBHS）,2.5.22,#,confirmed,features(CH32V20x_30xDS0.PDF)
USBHS,USB,CH32V317,CH32V307,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB2.0高速主机/设备控制器（USBHS）,2.5.22,#,confirmed,features(CH32V20x_30xDS0.PDF)
USBHS,USB,CH32V407,CH32V407,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB 2.0高速主机/设备控制器（USBHS）,1.4.22,#,confirmed,features(CH32V407DS0.PDF)
USBHS,USB,CH32V467,CH32V407,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB 2.0高速主机/设备控制器（USBHS）,1.4.22,#,confirmed,features(CH32V407DS0.PDF)
USBHS,USB,CH32X305,CH32X315,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB 2.0高速主机/设备控制器（USBHS）,1.4.18,#,confirmed,features(CH32X315DS0.PDF)
USBHS,USB,CH32X315,CH32X315,part,Universal Serial Bus USB2.0 High-speed Host/Device Controller (USBHS),通用串行总线USB 2.0高速主机/设备控制器（USBHS）,1.4.18,#,confirmed,features(CH32X315DS0.PDF)
USBSS,USB,CH32H416,CH32H417,part,Universal Serial Bus USB2.0 SuperSpeed Host/Device Controller (USBSS),通用串行总线USB 3.0超高速主机/设备控制器（USBSS）,1.4.26,#,confirmed,features(CH32H417DS0.PDF)
USBSS,USB,CH32H417,CH32H417,part,Universal Serial Bus USB2.0 SuperSpeed Host/Device Controller (USBSS),通用串行总线USB 3.0超高速主机/设备控制器（USBSS）,1.4.26,#,confirmed,features(CH32H417DS0.PDF)
USBSS,USB,CH32X315,CH32X315,part,Universal Serial Bus USB3.0 SuperSpeed Device Controller (USBSS) (Not,通用串行总线USB 3.0超高速设备控制器（USBSS）（不适用于CH32X305）,1.4.19,#,confirmed,features(CH32X315DS0.PDF)
WDG,,CH32H415,CH32H417,datasheet,Timer and Watchdog,定时器及看门狗,1.4.16,#,confirmed,features(CH32H417DS0.PDF)
WDG,,CH32H416,CH32H417,datasheet,Timer and Watchdog,定时器及看门狗,1.4.16,#,confirmed,features(CH32H417DS0.PDF)
WDG,,CH32H417,CH32H417,datasheet,Timer and Watchdog,定时器及看门狗,1.4.16,#,confirmed,features(CH32H417DS0.PDF)
WDG,,CH32L103,CH32L103,datasheet,Timer and Watchdog,定时器及看门狗,1.4.14,#,confirmed,features(CH32L103DS0.PDF)
WDG,,CH32M007,CH32V006,datasheet,Timer and Watchdog,定时器及看门狗,1.4.12,#,confirmed,features(CH32V007DS0.PDF)
WDG,,CH32M030,CH32M030,datasheet,Timer and Watchdog,定时器及看门狗,1.4.12,#,confirmed,features(CH32M030DS0.PDF)
WDG,,CH32M103,CH32L103,datasheet,Timer and Watchdog,定时器及看门狗,1.4.14,#,confirmed,features(CH32L103DS0.PDF)
