series,field,divider,value,#,confidence,basis
CH32L103,PPRE1,4,1280,#,reference,evt(device-header)
CH32L103,PPRE1,8,1536,#,reference,evt(device-header)
CH32L103,PPRE2,1,0,#,reference,evt(device-header)
CH32L103,PPRE2,16,14336,#,reference,evt(device-header)
CH32L103,PPRE2,2,8192,#,reference,evt(device-header)
CH32L103,PPRE2,4,10240,#,reference,evt(device-header)
CH32L103,PPRE2,8,12288,#,reference,evt(device-header)
CH32M007,ADCPRE,12,40960,#,reference,evt(device-header)
CH32M007,ADCPRE,128,63488,#,reference,evt(device-header)
CH32M007,ADCPRE,16,57344,#,reference,evt(device-header)
CH32M007,ADCPRE,2,0,#,reference,evt(device-header)
CH32M007,ADCPRE,24,43008,#,reference,evt(device-header)
CH32M007,ADCPRE,32,59392,#,reference,evt(device-header)
CH32M007,ADCPRE,4,16384,#,reference,evt(device-header)
CH32M007,ADCPRE,48,45056,#,reference,evt(device-header)
CH32M007,ADCPRE,6,32768,#,reference,evt(device-header)
CH32M007,ADCPRE,64,61440,#,reference,evt(device-header)
CH32M007,ADCPRE,8,49152,#,reference,evt(device-header)
CH32M007,ADCPRE,96,47104,#,reference,evt(device-header)
CH32M007,HPRE,1,0,#,reference,evt(device-header)
CH32M007,HPRE,128,224,#,reference,evt(device-header)
CH32M007,HPRE,16,176,#,reference,evt(device-header)
CH32M007,HPRE,2,16,#,reference,evt(device-header)
CH32M007,HPRE,256,240,#,reference,evt(device-header)
CH32M007,HPRE,3,32,#,reference,evt(device-header)
CH32M007,HPRE,32,192,#,reference,evt(device-header)
CH32M007,HPRE,4,48,#,reference,evt(device-header)
CH32M007,HPRE,5,64,#,reference,evt(device-header)
CH32M007,HPRE,6,80,#,reference,evt(device-header)
CH32M007,HPRE,64,208,#,reference,evt(device-header)
CH32M007,HPRE,7,96,#,reference,evt(device-header)
CH32M007,HPRE,8,112,#,reference,evt(device-header)
CH32M030,ADCPRE,2,0,#,reference,evt(device-header)
CH32M030,ADCPRE,4,16384,#,reference,evt(device-header)
CH32M030,ADCPRE,6,32768,#,reference,evt(device-header)
CH32M030,ADCPRE,8,49152,#,reference,evt(device-header)
CH32M030,HPRE,1,0,#,reference,evt(device-header)
CH32M030,HPRE,2,16,#,reference,evt(device-header)
CH32M030,HPRE,3,32,#,reference,evt(device-header)
CH32M030,HPRE,4,48,#,reference,evt(device-header)
CH32M030,HPRE,5,64,#,reference,evt(device-header)
CH32M030,HPRE,6,80,#,reference,evt(device-header)
CH32M030,HPRE,7,96,#,reference,evt(device-header)
CH32M103,ADCPRE,2,0,#,reference,evt(device-header)
CH32M103,ADCPRE,4,16384,#,reference,evt(device-header)
CH32M103,ADCPRE,6,32768,#,reference,evt(device-header)
CH32M103,ADCPRE,8,49152,#,reference,evt(device-header)
CH32M103,HPRE,1,0,#,reference,evt(device-header)
CH32M103,HPRE,128,208,#,reference,evt(device-header)
CH32M103,HPRE,16,176,#,reference,evt(device-header)
CH32M103,HPRE,2,128,#,reference,evt(device-header)
CH32M103,HPRE,256,224,#,reference,evt(device-header)
CH32M103,HPRE,4,144,#,reference,evt(device-header)
CH32M103,HPRE,512,240,#,reference,evt(device-header)
CH32M103,HPRE,64,192,#,reference,evt(device-header)
CH32M103,HPRE,8,160,#,reference,evt(device-header)
CH32M103,PPRE1,1,0,#,reference,evt(device-header)
CH32M103,PPRE1,16,1792,#,reference,evt(device-header)
CH32M103,PPRE1,2,1024,#,reference,evt(device-header)
CH32M103,PPRE1,4,1280,#,reference,evt(device-header)
CH32M103,PPRE1,8,1536,#,reference,evt(device-header)
CH32M103,PPRE2,1,0,#,reference,evt(device-header)
CH32M103,PPRE2,16,14336,#,reference,evt(device-header)
CH32M103,PPRE2,2,8192,#,reference,evt(device-header)
CH32M103,PPRE2,4,10240,#,reference,evt(device-header)
CH32M103,PPRE2,8,12288,#,reference,evt(device-header)
CH32V002,ADCPRE,12,40960,#,reference,evt(device-header)
CH32V002,ADCPRE,128,63488,#,reference,evt(device-header)
CH32V002,ADCPRE,16,57344,#,reference,evt(device-header)
CH32V002,ADCPRE,2,0,#,reference,evt(device-header)
CH32V002,ADCPRE,24,43008,#,reference,evt(device-header)
CH32V002,ADCPRE,32,59392,#,reference,evt(device-header)
CH32V002,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V002,ADCPRE,48,45056,#,reference,evt(device-header)
CH32V002,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V002,ADCPRE,64,61440,#,reference,evt(device-header)
CH32V002,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V002,ADCPRE,96,47104,#,reference,evt(device-header)
CH32V002,HPRE,1,0,#,reference,evt(device-header)
CH32V002,HPRE,128,224,#,reference,evt(device-header)
CH32V002,HPRE,16,176,#,reference,evt(device-header)
CH32V002,HPRE,2,16,#,reference,evt(device-header)
CH32V002,HPRE,256,240,#,reference,evt(device-header)
CH32V002,HPRE,3,32,#,reference,evt(device-header)
CH32V002,HPRE,32,192,#,reference,evt(device-header)
CH32V002,HPRE,4,48,#,reference,evt(device-header)
CH32V002,HPRE,5,64,#,reference,evt(device-header)
CH32V002,HPRE,6,80,#,reference,evt(device-header)
CH32V002,HPRE,64,208,#,reference,evt(device-header)
CH32V002,HPRE,7,96,#,reference,evt(device-header)
CH32V002,HPRE,8,112,#,reference,evt(device-header)
CH32V003,ADCPRE,2,0,#,reference,evt(device-header)
CH32V003,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V003,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V003,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V003,HPRE,1,0,#,reference,evt(device-header)
CH32V003,HPRE,128,224,#,reference,evt(device-header)
CH32V003,HPRE,16,176,#,reference,evt(device-header)
CH32V003,HPRE,2,16,#,reference,evt(device-header)
CH32V003,HPRE,256,240,#,reference,evt(device-header)
CH32V003,HPRE,3,32,#,reference,evt(device-header)
CH32V003,HPRE,32,192,#,reference,evt(device-header)
CH32V003,HPRE,4,48,#,reference,evt(device-header)
CH32V003,HPRE,5,64,#,reference,evt(device-header)
CH32V003,HPRE,6,80,#,reference,evt(device-header)
CH32V003,HPRE,64,208,#,reference,evt(device-header)
CH32V003,HPRE,7,96,#,reference,evt(device-header)
CH32V003,HPRE,8,112,#,reference,evt(device-header)
CH32V004,ADCPRE,12,40960,#,reference,evt(device-header)
CH32V004,ADCPRE,128,63488,#,reference,evt(device-header)
CH32V004,ADCPRE,16,57344,#,reference,evt(device-header)
CH32V004,ADCPRE,2,0,#,reference,evt(device-header)
CH32V004,ADCPRE,24,43008,#,reference,evt(device-header)
CH32V004,ADCPRE,32,59392,#,reference,evt(device-header)
CH32V004,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V004,ADCPRE,48,45056,#,reference,evt(device-header)
CH32V004,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V004,ADCPRE,64,61440,#,reference,evt(device-header)
CH32V004,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V004,ADCPRE,96,47104,#,reference,evt(device-header)
CH32V004,HPRE,1,0,#,reference,evt(device-header)
CH32V004,HPRE,128,224,#,reference,evt(device-header)
CH32V004,HPRE,16,176,#,reference,evt(device-header)
CH32V004,HPRE,2,16,#,reference,evt(device-header)
CH32V004,HPRE,256,240,#,reference,evt(device-header)
CH32V004,HPRE,3,32,#,reference,evt(device-header)
CH32V004,HPRE,32,192,#,reference,evt(device-header)
CH32V004,HPRE,4,48,#,reference,evt(device-header)
CH32V004,HPRE,5,64,#,reference,evt(device-header)
CH32V004,HPRE,6,80,#,reference,evt(device-header)
CH32V004,HPRE,64,208,#,reference,evt(device-header)
CH32V004,HPRE,7,96,#,reference,evt(device-header)
CH32V004,HPRE,8,112,#,reference,evt(device-header)
CH32V005,ADCPRE,12,40960,#,reference,evt(device-header)
CH32V005,ADCPRE,128,63488,#,reference,evt(device-header)
CH32V005,ADCPRE,16,57344,#,reference,evt(device-header)
CH32V005,ADCPRE,2,0,#,reference,evt(device-header)
CH32V005,ADCPRE,24,43008,#,reference,evt(device-header)
CH32V005,ADCPRE,32,59392,#,reference,evt(device-header)
