series,selector,value,signal,pad,peripheral,role,#,confidence,basis
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT6,PE11,UHSIF,PORT6,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT7,PE12,UHSIF,PORT7,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT8,PE13,UHSIF,PORT8,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT9,PE14,UHSIF,PORT9,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,1,UHSIF_PORT3,PC1,UHSIF,PORT3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,1,UHSIF_PORT4,PC2,UHSIF,PORT4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,1,UHSIF_PORT5,PC3,UHSIF,PORT5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,1,UHSIF_PORT6,PB0,UHSIF,PORT6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,1,UHSIF_PORT7,PB1,UHSIF,PORT7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT0,PC1,UHSIF,PORT0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT1,PC2,UHSIF,PORT1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT2,PC3,UHSIF,PORT2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT3,PB0,UHSIF,PORT3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT32,PC10,UHSIF,PORT32,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT33,PC11,UHSIF,PORT33,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT34,PC12,UHSIF,PORT34,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT35,PD0,UHSIF,PORT35,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT36,PD1,UHSIF,PORT36,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
