family,group,example,description,#,confidence,basis,source
CH32M030,INT,Interrupt_VTF,use VTF IRQ interrupt routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,INT,VectorInRAM,Interrupt routines for the interrupt vector table in RAM,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,OPA,CMP,Comparator routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,OPA,CMP_IRQ,CMP interrupt routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,OPA,OPA_PGA,OPA PGA routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,PWR,PWR_OVP,Overvoltage Protection Monitoring Routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,PWR,Sleep_Mode,"low power consumption, sleep mode routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,PWR,Standby_Mode,"low power consumption, standby mode routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,PWR,Stop_Mode,"low power consumption, stop mode routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,RCC,GET_CLK,Get Clock Frequency Routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,RCC,HSI_Calibration,HSI calibrate routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,RCC,MCO,MCO pin clock output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,SDI_Printf,SDI_Printf,"debug interface SDI, virtual serial port.",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,SPI,1Lines_half-duplex,"single wire half duplex mode, master / slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,SPI,2Lines_FullDuplex,"two-wire full duplex mode, master / slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,SPI,FullDuplex_HardNSS,"Hardware NSS mode, master / slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,SPI,SPI_CRC,use CRC error check and master / slave mode transceiver routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,SPI,SPI_DMA,"SPI uses DMA, master / slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,SPI,SPI_FLASH,SPI interface operation flash peripheral routine,#,confirmed,evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,SPI,SPI_LCD,SPI interface operation FLASH  and LCD peripheral routines,#,confirmed,evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,SYSTICK,SYSTICK_Interrupt,Systick timer routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,ADC_Capture,Capture ADC Module Signal Edge Routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,Bothedge_Capture,Double Edge Capture Routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,CenterAlignedMove,Shift routines in centrosymmetric mode,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,Clock_Select,clock source selection routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,ComplementaryOutput_DeadTime,complementary output and deadband insertion mode routines,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,Dead_Asymmetry,Deadband Asymmetry Routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,Encode,Timer encoder mode routines,#,reference,evt:list-en,CH32M030_List_EN.txt
CH32M030,TIM,Encoder,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,ExtTrigger_Start_Two_Timer,external trigger starts two timer routines synchronously,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,IndependentOutput,Complementary Channel Independent Output Routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,Input_Capture,input capture routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,One_Pulse,single pulse output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,Output_Compare_Mode,output comparison mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,PWM_Output,PWM output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,Synchro_ExtTrigger,"slave mode routine, including reset mode, gating mode and trigger mode",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,Synchro_Timer,timer synchronization mode,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,TIM_DMA,the timer uses DMA routines,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,TIM,TIM_INT,Timer Interrupt Routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,UART,UART_DMA,"UART uses DMA, master / slave mode transceiver routine",#,reference,evt:list-en,CH32M030_List_EN.txt
CH32M030,UART,UART_HalfDuplex,"single wire half duplex mode, master / slave mode transceiver routine",#,reference,evt:list-en,CH32M030_List_EN.txt
CH32M030,UART,UART_HardwareFlowControl,"hardware flow control mode, master / slave mode, transceiver routine",#,reference,evt:list-en,CH32M030_List_EN.txt
CH32M030,UART,UART_Idle_Recv,UART use DMA receiving indeterminate length data routines,#,reference,evt:list-en,CH32M030_List_EN.txt
CH32M030,UART,UART_Interrupt,"UART interrupt routine, master / slave mode transceiver routine",#,reference,evt:list-en,CH32M030_List_EN.txt
CH32M030,UART,UART_MultiProcessorCommunication,multiprocessor communication mode routine,#,reference,evt:list-en,CH32M030_List_EN.txt
CH32M030,UART,UART_Polling,"polling transceiver mode, master / slave transceiver routine",#,reference,evt:list-en,CH32M030_List_EN.txt
CH32M030,UART,UART_Printf,UART Print debugging routine,#,reference,evt:list-en,CH32M030_List_EN.txt
CH32M030,UART,UART_SynchronousMode,"synchronous mode, master / slave mode, transceiver routine",#,reference,evt:list-en,CH32M030_List_EN.txt
CH32M030,USART,USART_DMA,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USART,USART_HalfDuplex,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USART,USART_HardwareFlowControl,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USART,USART_Idle_Recv,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USART,USART_Interrupt,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USART,USART_MultiProcessorCommunication,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USART,USART_Polling,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USART,USART_Printf,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/DEVICE,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/DEVICE/CH372,"Simulates a custom USB device (CH372 device) with endpoints 1, 3, 5 down and 2, 4, 6 up. Data down from endpoint 1 is uploaded from endpoint 2 and not reversed, and data down from endpoint 3, 5 is uploaded from endpoint 4,6 and reversed.",#,confirmed,evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/DEVICE/Compatibility_HID,"Simulates HID devices, with data transmitted up and down through the serial port.",#,confirmed,evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/DEVICE/CompositeKM,"Simulate keyboard and mouse, use IO to simulate keystrokes, while simulated data can be uploaded through serial port 1.",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/DEVICE/CompositeKM_LowSpeed,"Simulate low speed keyboard and mouse, use IO to simulate keystrokes, while simulated data can be uploaded through serial port 1.",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/DEVICE/MSC_CD-ROM,"Simulate CDROM, need external SPI-Flash",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/DEVICE/MSC_U-Disk,"Smulates a simple USB flash drive, optionally using on-chip Flash or external SPI-Flash",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/DEVICE/SimulateCDC,Simulate a CDC serial port and use serial port 1 to send and receive.,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/DEVICE/SimulateCDC-HID,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/HOST_IAP,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/HOST_IAP/APP,"APP used with HOST_IAP, the project has modified the starting location of the program, after compilation, you need to convert the file into a bin file and rename it to APP.bin",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/HOST_IAP/HOST_IAP,"The host U disk IAP routine based on the U disk read file routine finishing, read the file with the name bit APP.bin from the U disk, write it to the internal flash, check it and jump automatically.",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/HOST_KM,"The host operates the keypad, gets the data of the endpoints uploaded by the keypad and prints it, supports U-port under level 1 hub",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/HOST_MTP_FileSystem,"Enumeration process of a USB host to a device that supports MTP and PTP protocols, supports MTP and PTP protocols, and reads its files",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/Host_Udisk,USB host operation USB disk routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USB,USBFS/Udisk_Lib,U disk file system library file,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USBPD,USBPD_SNK,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,USBPD,USBPD_SRC,,#,confirmed,evt:tree+evt:list-zh,CH32M030_List_EN.txt
CH32M030,WWDG,WWDG,Window Watchdog Routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32M030_List_EN.txt
CH32V003,ADC,ADC_DMA,ADC DMA sampling routines,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,ADC,AnalogWatchdog,analog watchdog routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,ADC,Auto_Injection,automatic injection mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,ADC,Discontinuous_mode,discontinuous mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,ADC,ExtLines_Trigger,external lines trigger ADC conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,ADC,TIM_Trigger,TIM trigger ADC conversion routine,#,confirmed,evt:tree+evt:list-en,CH32V00x_List_EN.txt
CH32V003,ADC,TIM_trigger,,#,confirmed,evt:tree+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,APPLICATION,SoftUART,I/O port simulation serial port routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,DMA,DMA_MEM2MEM,Memory to memory mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,DMA,DMA_MEM2PERIP,"Memory to peripheral mode, and peripheral to memory mode routine, see peripheral sub-routines",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,EXTI,EXTI0,external interrupt line routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,FLASH,BootAsUser,Boot Flash used for user flash,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,FLASH,FLASH_Program,"FLASH erase/read/write, and fast programming",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,GPIO,GPIO_Toggle,GPIO routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,I2C,I2C_10bit_Mode,"10-bit addressing mode, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,I2C,I2C_7bit_Interrupt_Mode,Use interrupt to receive and send routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,I2C,I2C_7bit_Mode,"7-bit addressing mode, master/slave mode, transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,I2C,I2C_DMA,"I2C DMA, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,I2C,I2C_EEPROM,I2C interface routine to operate EEPROM peripheral,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,I2C,I2C_PEC,"PEC error check, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,IAP,V00x_APP,APP go to IAP routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,INT,Interrupt_VTF,VTF IRQ interrupt routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,INT,VectorInRAM,Vector in RAM routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,IWDG,IWDG,independent watchdog routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,OPA,OPA,OPA as voltage follower output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,PWR,PVD_VoltageJudger,PVD voltage Judger Routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,PWR,PVD_Wakeup,STOP mode PVD wakeup MCU Routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,PWR,Sleep_Mode,"low power, sleep mode routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,PWR,Standby_Mode,"low power, standby mode routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,RCC,Get_CLK,Get system-HCLK-AHB1-AHB2 clock routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,RCC,MCO,MCO pin clock output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,SDI_Printf,SDI_Printf,"debug interface SDI, virtual serial port.",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,SPI,1Lines_half-duplex,"single wire half duplex mode, master/slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,SPI,2Lines_FullDuplex,"two-wire full duplex mode, master/slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,SPI,FullDuplex_HardNSS,"Hardware NSS mode, master/slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,SPI,SPI_CRC,CRC error check and master/slave mode transceiver routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,SPI,SPI_DMA,"SPI DMA, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,SYSTICK,SYSTICK_Interrupt,systick interrupt routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,Clock_Select,clock source selection routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,ComplementaryOutput_DeadTime,complementary output and deadband insertion mode routines,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,Encode,Timer encoder mode routines,#,reference,evt:list-en,CH32V00x_List_EN.txt
CH32V003,TIM,Encoder,,#,confirmed,evt:tree+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,ExtTrigger_Start_Two_Timer,external trigger routines to start two timers synchronously,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,Input_Capture,input capture routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,One_Pulse,single pulse output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,Output_Compare_Mode,output comparison mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,PWM_6_Step,Timer 6_Step PWM routines,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,PWM_Output,PWM output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,PWM_Phase-shifted,Timer PWM Phase shifted routines,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,Synchro_ExtTrigger,"slave mode routine, including reset mode, gating mode and trigger mode",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,Synchro_Timer,timer synchronization mode,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,TIM_Continuous,Timer Continuous mode routines,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,TIM_DMA,timer DMA routines,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,TIM,TIM_INT,Timer interput routines,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,USART,USART_DMA,"USART DMA, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,USART,USART_HalfDuplex,"single wire half duplex mode, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,USART,USART_HardwareFlowControl,"hardware flow control mode, master/slave mode, transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,USART,USART_Interrupt,"USART interrupt routine, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,USART,USART_MultiProcessorCommunication,multiprocessor communication mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,USART,USART_Polling,"polling transceiver mode, master/slave transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,USART,USART_Printf,USART Print debugging routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,USART,USART_SynchronousMode,"synchronous mode, master/slave mode, transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V003,WWDG,WWDG,window watchdog routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00x_List_EN.txt
CH32V006,ADC,ADC_DMA,ADC DMA sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,ADC,AnalogWatchdog,analog watchdog routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,ADC,Auto_Injection,automatic injection mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,ADC,Discontinuous_mode,discontinuous mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,ADC,ExtLines_Trigger,external lines trigger ADC conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,ADC,SLTIM_Trigger,Streamlined Timer-Triggered ADC conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,ADC,TIM Trigger,TIM trigger ADC conversion routine,#,reference,evt:list-en,CH32V00X_List_EN.txt
CH32V006,ADC,TIM_Trigger,,#,confirmed,evt:tree+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,APPLICATION,Motor,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,APPLICATION,Motor/Electric_Fan,Application of medium and low speed fans based on FOC three-phase brushless motor,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,APPLICATION,Motor/Voilent_Fan,,#,confirmed,evt:tree+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,APPLICATION,Motor/voilent_fan,BLDC-based high-speed fan applications,#,confirmed,evt:tree+evt:list-en,CH32V00X_List_EN.txt
CH32V006,APPLICATION,SoftUART,I/O port simulation serial port routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,DMA,DMA_MEM2MEM,Memory to memory mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,DMA,DMA_MEM2PERIP,"Memory to peripheral mode, and peripheral to memory mode routine, see peripheral sub-routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,EXTI,EXTI0,external interrupt line routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,FLASH,BootAsUser,Boot Flash used for user flash,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,FLASH,FLASH_Program,"FLASH erase/read/write, and fast programming",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,GPIO,GPIO_Toggle,GPIO routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,I2C,I2C_10bit_Mode,"10-bit addressing mode, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,I2C,I2C_7bit_Interrupt_Mode,Send/receive routine using interrupts,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,I2C,I2C_7bit_Mode,"7-bit addressing mode, master/slave mode, transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,I2C,I2C_DMA,"I2C DMA, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,I2C,I2C_EEPROM,I2C interface routine to operate EEPROM peripheral,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,I2C,I2C_PEC,"PEC error check, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,IAP,V00X_APP,APP go to IAP routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,INT,Interrupt_VTF,use VTF IRQ interrupt routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,INT,VectorInRAM,Interrupt routines for the interrupt vector table in RAM,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,IWDG,IWDG,independent watchdog routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,OPA,CMP,comparator routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,OPA,CMP_BKIN,CMP break routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,OPA,CMP_Poll,CMP OPA polling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,OPA,OPA,OPA as the output routine of voltage follower,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,OPA,OPA_PGA,PGA routine of OPA,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,OPA,OPA_Poll,OPA polling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,PWR,Sleep_Mode,"low power, sleep mode routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,PWR,Standby_Mode,"low power, standby mode routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,RCC,Get_CLK,Get system-HCLK-HB1-HB2 clock routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,RCC,MCO,MCO pin clock output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,SDI_Printf,SDI_Printf,"debug interface SDI, virtual serial port.",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,SPI,1Lines_half-duplex,"single wire half duplex mode, master/slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,SPI,2Lines_FullDuplex,"two-wire full duplex mode, master/slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,SPI,FullDuplex_HardNSS,"Hardware NSS mode, master/slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
CH32V006,SPI,SPI_CRC,CRC error check and master/slave mode transceiver routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32V00X_List_EN.txt
