series,symbol,parameter,condition,min,max,unit,#,confidence,basis,datasheet
CH32V407;CH32V467,F_HCLK,Internal HB clock frequency,LDO_VDDK[2:0] = 011(Default),,200,MHz,#,confirmed,CH32V407DS0.PDF:zh(p.45)+CH32V407DS0.PDF:en(p.51),CH32V407DS0.PDF
CH32V407;CH32V467,F_HCLK,Internal HB clock frequency,LDO_VDDK[2:0] = 100,,240,MHz,#,confirmed,CH32V407DS0.PDF:zh(p.45)+CH32V407DS0.PDF:en(p.51),CH32V407DS0.PDF
CH32V407;CH32V467,F_PCLK1,Internal PB1 clock frequency,,,F_HCLK,MHz,#,confirmed,CH32V407DS0.PDF:zh(p.45)+CH32V407DS0.PDF:en(p.51),CH32V407DS0.PDF
CH32V407;CH32V467,F_PCLK2,Internal PB2 clock frequency,,,F_HCLK,MHz,#,confirmed,CH32V407DS0.PDF:zh(p.45)+CH32V407DS0.PDF:en(p.51),CH32V407DS0.PDF
CH32V407;CH32V467,V_DD,Standard working voltage,USB or ETH not used.,2.9,3.6,V,#,confirmed,CH32V407DS0.PDF:zh(p.45)+CH32V407DS0.PDF:en(p.51),CH32V407DS0.PDF
CH32V407;CH32V467,V_DD,Standard working voltage,Use USB or ETH,3.15,3.45,V,#,confirmed,CH32V407DS0.PDF:zh(p.45)+CH32V407DS0.PDF:en(p.51),CH32V407DS0.PDF
CH32X033;CH32X035,F_HCLK,Internal system bus frequency or microprocessor main frequency,,,48,MHz,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.26),CH32X035DS0.PDF
CH32X033;CH32X035,V_DD,Operating supply voltage (nominal 5V),Disable ADC function,2.0,5.5,V,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.26),CH32X035DS0.PDF
CH32X033;CH32X035,V_DD,Operating supply voltage (nominal 5V),Disable USB or PD function,2.0,5.5,V,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.26),CH32X035DS0.PDF
CH32X033;CH32X035,V_DD,Operating supply voltage (nominal 5V),Enable ADC function,2.5,5.5,V,#,reference,CH32X035DS0.PDF:en(p.26),CH32X035DS0.PDF
CH32X033;CH32X035,V_DD,Operating supply voltage (nominal 5V),Enable USB or PD function,3.0,5.3,V,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.26),CH32X035DS0.PDF
CH32X305;CH32X315,F_CORE,Core RISC-V3F frequency,LDO_VDDK = 101 (default),,480,MHz,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,F_CORE,Core RISC-V3F frequency,LDO_VDDK = 111 (Performance mode),,625,MHz,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,F_HCLK,System HB clock frequency,LDO_VDDK = 101 (default),,312.5,MHz,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,F_HCLK,System HB clock frequency,LDO_VDDK = 111 (Performance mode),,400,MHz,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,V_DD,Standard working voltage,Not used USB 2.0,2.8,3.6,V,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,V_DD,Standard working voltage,Use USB 2.0,3.15,3.45,V,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
