body_size,datasheet,family_dir,flash_bytes,gpio_count,package,package_ordering,packing,part_number,pin_count,pin_pitch,sram_bytes,temperature,body_size_confidence,flash_bytes_confidence,gpio_count_confidence,package_confidence,package_ordering_confidence,packing_confidence,pin_count_confidence,pin_pitch_confidence,sram_bytes_confidence,temperature_confidence
7*7mm,CH32V103DS0.PDF,CH32V103,65536,37,,LQFP48,Tray,CH32V103C8T6,48,0.5mm,20480,,en-only,confirmed,confirmed,missing,confirmed,en-only,confirmed,confirmed,confirmed,missing
7*7mm,CH32V103DS0.PDF,CH32V103,65536,37,QFN48X7,QFN48X7,Tray,CH32V103C8U6,48,0.5mm,20480,,en-only,confirmed,confirmed,confirmed,confirmed,en-only,confirmed,confirmed,confirmed,missing
10*10mm,CH32V103DS0.PDF,CH32V103,65536,51,LQFP64M(10*10),LQFP64M,Tray,CH32V103R8T6,64,0.5mm,20480,,en-only,confirmed,confirmed,confirmed,confirmed,en-only,confirmed,confirmed,confirmed,missing
4.4*6.5mm,CH32V203DS0.PDF,CH32V20x,32768,16,TSSOP20,TSSOP20,,CH32V203F6P6,20,0.65mm,10240,-40..85C,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,confirmed
4*4mm,CH32V203DS0.PDF,CH32V20x,32768,24,QFN28,QFN28,,CH32V203G6U6,28,0.4mm,10240,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
3.9*9.9mm,CH32V203DS0.PDF,CH32V20x,65536,24,QSOP28,QSOP28,,CH32V203G8R6,28,0.635mm,20480,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
7*7mm,CH32V203DS0.PDF,CH32V20x,65536,26,LQFP32,LQFP32,,CH32V203K8T6,32,0.8mm,20480,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
4*4mm,CH32V203DS0.PDF,CH32V20x,65536,31,QFN32,QFN32,,CH32V203K8U7,32,0.4mm,20480,-40..105C,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,confirmed
10*10mm,CH32V203DS0.PDF,CH32V20x,128K(2),51,LQFP64M,LQFP64M,,CH32V203RBT6,64,0.5mm,65536,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
7*7mm,CH32V205DS0.PDF,CH32V20x,262144,37,LQFP48,LQFP48,,CH32V203CCT6,48,0.5mm,32768,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
7*7mm,CH32V205DS0.PDF,CH32V20x,262144,41,LQFP48,LQFP48,,CH32V205CCT6,48,0.5mm,32768,-40..85C,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,confirmed
7*7mm,CH32V205DS0.PDF,CH32V20x,262144,51,LQFP64,LQFP64,,CH32V205RCT6,64,0.4mm,32768,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
