series,selector,register,bits,value,peripheral,role,signal,pad,port,gpio,#,confidence,basis
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,D5,SDMMC_D5,PD5,D,5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,D6,SDMMC_D6,PD6,D,6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,D7,SDMMC_D7,PD7,D,7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,SDCK,SDMMC_SDCK,PC12,C,12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,SLVCK,SDMMC_SLVCK,PC12,C,12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,STR,SDMMC_STR,PC11,C,11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,STS,SDMMC_STS,PC10,C,10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-clk-remap,PCFR1,PCFR1:6;PCFR1:7,0,UHSIF,CLK,UHSIF_CLK,PF11,F,11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-clk-remap,PCFR1,PCFR1:6;PCFR1:7,1,UHSIF,CLK,UHSIF_CLK,PC0,C,0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-clk-remap,PCFR1,PCFR1:6;PCFR1:7,2,UHSIF,CLK,UHSIF_CLK,PF14,F,14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-clk-remap,PCFR1,PCFR1:6;PCFR1:7,3,UHSIF,CLK,UHSIF_CLK,PD9,D,9,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT0,UHSIF_PORT0,PF12,F,12,#,reference,candidates(datasheet-pin-table-default:en)
