series,family,debug_if,wording,section,swdio_pads,swclk_pads,#,confidence,basis
CH32V007,CH32V006,both,1-wire Serial Debug Interface (SDI),1.4.20,PD1,PB3,#,confirmed,"CH32V007DS0.PDF:zh(1.4)+CH32V007DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
CH32V103,CH32V103,rvswd,2-wire Serial Debug Interface (SDI),1.5.20,PA13,PA14,#,confirmed,CH32V103DS0.PDF:zh(1.5)+CH32V103DS0.PDF:en(1.5)+WCH-LinkUserManual.PDF:zh(p.5)+WCH-LinkUserManual.PDF:en(p.6)
CH32V203,CH32V20x,rvswd,2-wire SDI Serial Debug Interface,2.5.23,PA13,PA14,#,confirmed,CH32V203DS0.PDF:zh(2.5)+CH32V203DS0.PDF:en(2.5)+WCH-LinkUserManual.PDF:zh(p.5)+WCH-LinkUserManual.PDF:en(p.6)
CH32V205,CH32V205,both,Serial Debug Interface (SDI),1.4.28,PA13,PA14,#,confirmed,"CH32V205DS0.PDF:zh(1.4)+CH32V205DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
CH32V208,CH32V20x,rvswd,,2.5.23,PA13,PA14,#,confirmed,CH32V208DS0.PDF:zh(2.5)+WCH-LinkUserManual.PDF:zh(p.5)+WCH-LinkUserManual.PDF:en(p.6)
CH32V303,CH32V307,rvswd,2-wire SDI Serial Debug Interface,2.5.30,PA13,PA14,#,confirmed,CH32V20x_30xDS0.PDF:zh(2.5)+CH32V20x_30xDS0.PDF:en(2.5)+WCH-LinkUserManual.PDF:zh(p.5)+WCH-LinkUserManual.PDF:en(p.6)
CH32V305,CH32V307,rvswd,2-wire SDI Serial Debug Interface,2.5.30,PA13,PA14,#,confirmed,CH32V20x_30xDS0.PDF:zh(2.5)+CH32V20x_30xDS0.PDF:en(2.5)+WCH-LinkUserManual.PDF:zh(p.5)+WCH-LinkUserManual.PDF:en(p.6)
CH32V307,CH32V307,rvswd,2-wire SDI Serial Debug Interface,2.5.30,PA13,PA14,#,confirmed,CH32V20x_30xDS0.PDF:zh(2.5)+CH32V20x_30xDS0.PDF:en(2.5)+WCH-LinkUserManual.PDF:zh(p.5)+WCH-LinkUserManual.PDF:en(p.6)
CH32V317,CH32V307,rvswd,2-wire SDI Serial Debug Interface,2.5.30,PA13,PA14,#,confirmed,CH32V20x_30xDS0.PDF:zh(2.5)+CH32V20x_30xDS0.PDF:en(2.5)+WCH-LinkUserManual.PDF:zh(p.5)+WCH-LinkUserManual.PDF:en(p.6)
CH32V407,CH32V407,both,Serial Debug Interface (SDI),1.4.32,PA13,PA14,#,confirmed,"CH32V407DS0.PDF:zh(1.4)+CH32V407DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
CH32V467,CH32V407,both,Serial Debug Interface (SDI),1.4.32,PA13,PA14,#,confirmed,"CH32V407DS0.PDF:zh(1.4)+CH32V407DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
CH32X033,CH32X035,rvswd,2-wire SDI Serial Debug Interface,1.4.22,PC18,PC19,#,confirmed,CH32X035DS0.PDF:zh(1.4)+CH32X035DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.4)+WCH-LinkUserManual.PDF:en(p.6)
CH32X035,CH32X035,rvswd,2-wire SDI Serial Debug Interface,1.4.22,PC18,PC19,#,confirmed,CH32X035DS0.PDF:zh(1.4)+CH32X035DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.4)+WCH-LinkUserManual.PDF:en(p.6)
CH32X305,CH32X315,both,Serial Debug Interface (SDI),1.4.22,PA13,PA14,#,confirmed,"CH32X315DS0.PDF:zh(1.4)+CH32X315DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
CH32X315,CH32X315,both,Serial Debug Interface (SDI),1.4.22,PA13,PA14,#,confirmed,"CH32X315DS0.PDF:zh(1.4)+CH32X315DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
