family,variant,dma,channel,request_id,peripheral,request,remap,spelled,note,#,confidence,basis
CH32H417,,,,42,TIM9,TIM9_CH4,,TIM9_CH4,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,43,TIM9,TIM9_UP,,TIM9_UP,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,44,TIM9,TIM9_TRIG,,TIM9_TRIG,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,45,TIM10,TIM10_CH1,,TIM10_CH1,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,46,TIM10,TIM10_CH2,,TIM10_CH2,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,47,TIM10,TIM10_CH3,,TIM10_CH3,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,48,TIM10,TIM10_CH4,,TIM10_CH4,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,49,TIM10,TIM10_UP,,TIM10_UP,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,50,TIM10,TIM10_TRIG,,TIM10_TRIG,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,51,TIM11,TIM11_CH1,,TIM11_CH1,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,52,TIM11,TIM11_CH2,,TIM11_CH2,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,53,TIM11,TIM11_CH3,,TIM11_CH3,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,54,TIM11,TIM11_CH4,,TIM11_CH4,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,55,TIM11,TIM11_UP,,TIM11_UP,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,56,TIM11,TIM11_TRIG,,TIM11_TRIG,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,57,TIM12,TIM12_CH1,,TIM12_CH1,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,58,TIM12,TIM12_CH2,,TIM12_CH2,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,59,TIM12,TIM12_CH3,,TIM12_CH3,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,60,TIM12,TIM12_CH4,,TIM12_CH4,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,61,TIM12,TIM12_UP,,TIM12_UP,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,62,TIM12,TIM12_TRIG,,TIM12_TRIG,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,63,SPI1,SPI1_TX,,SPI1_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,64,SPI1,SPI1_RX,,SPI1_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,65,SPI2,SPI2_TX,,SPI2_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,66,SPI2,SPI2_RX,,SPI2_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,67,SPI3,SPI3_TX,,SPI3_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,68,SPI3,SPI3_RX,,SPI3_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,69,SPI4,SPI4_TX,,SPI4_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,70,SPI4,SPI4_RX,,SPI4_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,71,QSPI1,QSPI1_DMA,,QSPI1_DMA,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,72,QSPI2,QSPI2_DMA,,QSPI2_DMA,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,73,I2C1,I2C1_TX,,I2C1_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,74,I2C1,I2C1_RX,,I2C1_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,75,I2C2,I2C2_TX,,I2C2_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,76,I2C2,I2C2_RX,,I2C2_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,77,I2C3,I2C3_TX,,I2C3_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,78,I2C3,I2C3_RX,,I2C3_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,79,I2C4,I2C4_TX,,I2C4_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,80,I2C4,I2C4_RX,,I2C4_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,81,I3C,I3C_RS,,I3C_RS,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,82,I3C,I3C_TC,,I3C_TC,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,83,I3C,I3C_TX,,I3C_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,84,I3C,I3X_RX,,I3X_RX,as printed; RM typo for I3C_RX; DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,85,USART1,USART1_TX,,USART1_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,86,USART1,USART1_RX,,USART1_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,87,USART2,USART2_TX,,USART2_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,88,USART2,USART2_RX,,USART2_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,89,USART3,USART3_TX,,USART3_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,90,USART3,USART3_RX,,USART3_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,91,USART4,USART4_TX,,USART4_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,92,USART4,USART4_RX,,USART4_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,93,USART5,USART5_TX,,USART5_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,94,USART5,USART5_RX,,USART5_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,95,USART6,USART6_TX,,USART6_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,96,USART6,USART6_RX,,USART6_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,97,USART7,USART7_TX,,USART7_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,98,USART7,USART7_RX,,USART7_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,99,USART8,USART8_TX,,USART8_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,100,USART8,USART8_RX,,USART8_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,101,SWPMI,SWPMI_TX,,SWPMI_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,102,SWPMI,SWPMI_RX,,SWPMI_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,103,DAC1,DAC1,,DAC1,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,104,DAC2,DAC2,,DAC2,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,107,DFSDM,DFSDM_DMA0,,DFSDM_DMA0,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,108,DFSDM,DFSDM_DMA1,,DFSDM_DMA1,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,111,SDIO,SDIO,,SDIO,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,112,SAI,SAI_A_TX,,SAI_A_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,113,SAI,SAI_A_RX,,SAI_A_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,114,SAI,SAI_B_TX,,SAI_B_TX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,115,SAI,SAI_B_RX,,SAI_B_RX,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,120,ADC1,ADC1,,ADC1,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,121,ADC2,ADC2,,ADC2,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,122,TIM6,TIM6_UP,,TIM6_UP,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,123,TIM7,TIM7_UP,,TIM7_UP,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32L103,,DMA1,1,,ADC1,ADC,,ADC,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,1,,TIM2,TIM2_CH3,,TIM2_CH3,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,1,,TIM4,TIM4_CH1,,TIM4_CH1,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,1,,USART4,USART4_TX,,USART4_TX,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
